Name	Radius	Mass	T_eff (Host Star)	Transit Duration
55 Cnc e	1.915941077	8.07483352	5219	4972.54972388
CoRoT-1 b	16.35024172	327.4440364	6298	7327.75960661
CoRoT-10 b	10.64411709	874.2437866	5075	10993.354956
CoRoT-11 b	15.25291006	791.5880104	6440	10316.9084985
CoRoT-12 b	15.80157589	291.5205645	5675	8708.64323244
CoRoT-13 b	9.711385183	415.8221356	5945	8840.24858021
CoRoT-14 b	11.96091508	2416.091919	6035	7544.32686301
CoRoT-16 b	12.83878041	168.4906207	5650	11416.2321711
CoRoT-17 b	11.19278292	778.8717372	5740	13817.3593168
CoRoT-18 b	14.37504473	1103.136705	5440	7128.73632889
CoRoT-19 b	15.91130906	352.876583	6090	13786.9349026
CoRoT-2 b	16.07590881	1052.271612	5575	6204.57534338
CoRoT-20 b	9.217585936	1347.924966	5880	11575.9978361
CoRoT-21 b	14.26531157	718.4694392	6200	14119.8038793
CoRoT-22 b	4.777400349	12.2029492	5939	13308.6296829
CoRoT-23 b	11.52198242	890.1391282	5900	13403.3357029
CoRoT-24 b	3.621194475	5.722322967	4950	8650.711913
CoRoT-24 c	4.8282593	27.97580117	4950	11418.4036187
CoRoT-25 b	11.85118192	85.8348445	6040	11082.4226777
CoRoT-26 b	13.8263789	165.3115524	5590	15883.8040325
CoRoT-27 b	11.05012981	3303.051979	5900	9193.11942053
CoRoT-28 b	10.47951734	153.8669064	5150	17399.949386
CoRoT-29 b	9.875984932	270.2208068	5260	7293.8994925
CoRoT-3 b	11.08304976	6885.86197	6740	12879.809248
CoRoT-4 b	13.05824674	228.8929187	6190	13208.669735
CoRoT-5 b	15.23096343	148.4624903	6100	10685.6352522
CoRoT-6 b	12.79488714	941.0042212	6090	11818.7025417
CoRoT-7 b	1.645997489	4.800393156	5313	4783.77929168
CoRoT-8 b	6.254790457	69.93950293	5080	8357.5249412
CoRoT-9 b	11.52198242	267.0417385	5625	24372.7513415
EPIC 201295312 b	2.69175456	12.00416196	5830	14711.6424691
EPIC 201367065 b	2.128823419	8.392740352	3896	8108.14609881
EPIC 201505350 c	4.7624194	15.89534157	5430	11383.3655682
EPIC 201505350 b	7.582561764	43.87114275	5430	9936.47096793
EPIC 201546283 b	4.356406687	29.10754949	5320	9459.03332071
EPIC 201577035 b	3.759458264	27.02208068	5620	15293.7097021
EPIC 201637175 b	2.41412965	445.0695641	3830	2772.19437896
EPIC 203771098 b	5.706124627	20.98185088	5743	18154.6835672
EPIC 203771098 c	7.933707895	27.02208068	5743	22981.2496399
EPIC 204129699 b	15.47237639	563.9667191	5280	4916.10363758
EPIC 204221263 b	1.51431769	12.01687823	5757	9672.17347407
EPIC 204221263 c	2.370236384	9.855111776	5757	13350.4977482
EPIC 210490365 b	3.357834877	953.7204945	3180	3805.56515859
GJ 1132 b	1.16000027	1.620053213	3270	2436.17734906
Gliese 1214 b	2.770762439	6.199183214	3250	2602.53864344
Gliese 3470 b	3.79676754	13.73357512	3652	5079.47249806
Gliese 436 b	4.13364836	23.11182665	3684	4730.22042815
Gliese 436 c	0.66000099	0.280011097	3684	3795.46343263
HAT-P-1 b	13.35452629	166.5831797	5975	9965.03520509
HAT-P-11 b	4.959939099	25.75045335	4780	7725.64576522
HAT-P-12 b	10.52341061	67.07834145	4650	6490.73625952
HAT-P-13 b	14.04584524	270.2208068	5638	11801.6617863
HAT-P-14 b	13.16797991	699.3950293	6600	12414.3115208
HAT-P-15 b	11.76339539	618.6466941	5568	13475.38441
HAT-P-16 b	13.05824674	1332.983344	6140	8627.12901841
HAT-P-17 b	11.08304976	169.762248	5246	10861.3036786
HAT-P-18 b	10.39173081	62.30973897	4870	7816.58256144
HAT-P-19 b	12.1694081	92.8287948	4990	7805.0914323
HAT-P-2 b	10.43562408	2778.505707	6290	14902.3086789
HAT-P-20 b	9.513865484	2303.552901	4595	6129.30720658
HAT-P-21 b	11.23667619	1291.655456	5588	10210.1461484
HAT-P-22 b	11.85118192	682.5459672	5302	8939.92513304
HAT-P-23 b	15.0114971	664.4252778	5905	6969.0969842
HAT-P-24 b	13.62885921	217.7661796	6329	10524.1490732
HAT-P-25 b	13.05824674	180.2531735	5500	8328.85843553
HAT-P-26 b	6.199923874	18.75650306	5079	7719.00573844
HAT-P-27 b	11.19278292	197.1022355	5300	7331.47964604
HAT-P-28 b	13.29965971	199.0096765	5680	9175.15984774
HAT-P-29 b	12.14746147	247.3315149	6087	11634.70571
HAT-P-3 b	9.074932821	187.8829374	5224	6635.47646613
HAT-P-30 b	14.70424423	226.0317572	6304	9025.38580463
HAT-P-31 b	11.74144875	690.1757312	6065	12325.3919333
HAT-P-32 b	22.3526459	299.1503284	6207	9595.87804015
HAT-P-33 b	20.04824941	242.5629124	6446	13602.8058446
HAT-P-34 b	13.13505996	1057.993935	6442	13690.8299394
HAT-P-35 b	14.6164577	335.0738004	6096	11645.0948345
HAT-P-36 b	13.87027217	582.4053153	5580	6765.20824779
HAT-P-37 b	12.92656694	371.633086	5500	7165.47549359
HAT-P-38 b	9.052986187	84.88112401	5330	9069.26958194
HAT-P-39 b	17.23908036	190.4261921	6430	12518.5548528
HAT-P-4 b	13.93611207	216.1766454	5890	12087.7709616
HAT-P-40 b	18.9838377	195.5127014	6080	17896.7548053
HAT-P-41 b	18.49003846	254.3254652	6390	11793.8968585
HAT-P-42 b	14.01292529	309.9591607	5743	13651.5051516
HAT-P-43 b	14.07876519	209.8185088	5645	9185.66927685
